Alabama	36,547	4,849,377	0.75	7		42	33	77	1	1	40
Alaska	33,375	736,732	4.53	8		55	28	86	1	1	15
Arizona	416,192	6,731,484	6.18	102		719	86	844	6	5	66
Arkansas	29,898	2,966,369	1.00	7		38	26	67	1		21
California	778,629	38,802,500	2.01	156		1,184	164	1,367	19	7	183
Colorado	151,523	5,355,866	2.82	34		272	31	311	4	1	55
Connecticut	15,571	3,596,677	0.43	3		28	5	35			9
Delaware	5,186	935,614	0.55	2		9	3	12			3
District of Columbia	2,562	658,893	0.38			2	1	3			
Florida	149,355	19,893,297	0.75	30		186	50	241	5	2	69
Georgia	82,857	10,097,343	0.82	16		111	40	151	3	1	42
Hawaii	73,660	1,419,561	5.18	16		124	11	138	1	2	25
Idaho	430,757	1,634,464	26.35	127		999	82	1,117	4	4	63
Illinois	57,080	12,880,580	0.44	12		93	34	130	3	2	36
Indiana	43,614	6,596,855	0.66	11		68	31	100	1	1	29
Iowa	27,131	3,107,126	0.87	7		41	28	69	1		30
Kansas	36,377	2,904,021	1.25	7		55	20	78	1		25
Kentucky	34,210	4,413,457	0.77	7		44	33	78	1	1	23
Louisiana	29,779	4,649,676	0.64	6		34	19	54	1	1	13
Maine	10,876	1,330,089	0.81	2		17	10	26			11
Maryland	43,439	5,976,407	0.72	8		67	14	81	2	1	13
Massachusetts	26,678	6,745,408	0.39	4		39	13	52	1	1	12
Michigan	43,748	9,909,877	0.44	8	1	62	33	94	2	1	41
Minnesota	32,030	5,458,333	0.59	8		52	23	76	1	1	24
Mississippi	21,630	2,994,079	0.72	4		28	16	44	1		16
Missouri	69,451	6,063,589	1.14	17		111	37	152	2	2	46
Montana	48,968	1,023,579	4.78	11		83	41	123	1	1	48
Nebraska	24,357	1,881,503	1.29	4		40	20	60	1	1	18
Nevada	182,072	2,839,099	6.41	37		300	28	330	3	2	29
New Hampshire	8,211	1,326,813	0.61	3		15	4	19	1		6
New Jersey	33,164	8,938,175	0.37	6		37	24	63	1		18
New Mexico	69,850	2,085,572	3.34	14		95	47	143	2	1	31
New York	81,128	19,746,227	0.41	16	1	90	59	150	4	2	53
North Carolina	82,162	9,943,964	0.82	17		119	35	154	2	1	46
North Dakota	11,017	739,482	1.48	3		12	9	22	1	1	7
Ohio	60,810	11,594,163	0.52	13		99	26	126	3	1	42
Oklahoma	46,588	3,878,051	1.20	8		63	23	88	2	1	26
Oregon	153,226	3,970,239	3.85	35		253	50	306	3	2	65
Pennsylvania	51,406	12,787,209	0.40	12		80	26	111	2		42
Rhode Island	4,002	1,055,173	0.37			6	2	8			1
South Carolina	40,288	4,832,482	0.83	6		53	15	68	1	1	19
South Dakota	10,875	853,175	1.27	2	1	10	23	34			11
Tennessee	49,277	6,549,352	0.75	11		74	28	105	2	2	30
Texas	334,772	27,695,284	1.21	69	3	488	132	635	8	4	111
Utah	2,000,554	2,942,902	67.97	579	1	4,589	327	4,971	9	16	152
Vermont	4,646	626,562	0.74	1		8	4	12			6
Virginia	94,273	8,326,289	1.13	20		164	33	197	3		36
Washington	282,356	7,061,530	3.99	59		475	68	549	7	3	79
West Virginia	17,040	1,850,326	0.92	4		25	12	36	1		14
Wisconsin	25,871	5,757,564	0.44	6		42	26	68	1		24
Wyoming	67,199	584,153	11.50	17		137	18	157			37
